"id_loja","nm_fantasia","nm_nome_loja","fl_produtos_especiais","nm_inscricao_estadual","tx_website","quantidade_skus","op_type","dt_process_stage","partition_ano_mes"
181,Project Company Revenda,Project Company Revenda,"1","9089914865",,30,I,2023-11-27 00:01:03.000,"197001"
585,Barber Sul,Barber Sul,"0","262038900",,100,I,2023-11-27 00:01:03.000,"197001"
757,Nova Era Cosméticos,Nova Era Cosméticos,"0","1240334629",https://novaera.com.br,1000,I,2023-11-27 00:01:03.000,"197001"
611,JGL comercio de variedades,JGL comercio de variedades,"0","136.153.457.111",,500,I,2023-11-27 00:01:03.000,"197001"
1330,AROMAESSENTIAL,AROMAESSENTIAL,"0","0043409720057",,500,I,2023-11-27 00:01:03.000,"197001"
788,MAIS BRASIL RIO1,MaisBrasil Rio,"0","11.956.041",,1,I,2023-11-27 00:01:03.000,"197001"
1341,Make Beauty Shop,Make Beauty Shop,"0","083854142",https://makebeautyshop.com.br,1000,I,2023-11-27 00:01:03.000,"197001"
58,Firebrain,Firebrain,"0","255.535.798.118",,30,I,2023-11-27 00:01:03.000,"197001"
470,AnyTrade,AnyTrade,"0","262051699",,20,I,2023-11-27 00:01:03.000,"197001"
832,davantage lab,davantage lab,"1","131.424.407.112",www.davantagelab.com.br,30,I,2023-11-27 00:01:03.000,"197001"
581,Alma Botânica Cosmética Natural,Alma Botânica Cosmética Natural,"0","454699195118",www.usealmabotanica.com.br,9,I,2023-11-27 00:01:03.000,"197001"
522,Smith,Smith,"0","0963745212",www.espacoquallys.com.br,500,I,2023-11-27 00:01:03.000,"197001"
1397,LOJA MEU BEBE,Loja Meu Bebê,"0","587.279.043.110",www.oshoppingdobebe.com.br,1000,I,2023-11-27 00:01:03.000,"197001"
765,Ateliê Amore Mio,Ateliê Amore Mio,"0","136247674117",,80,I,2023-11-27 00:01:03.000,"197001"
971,Vitalonga,Vitalonga,"0","131.541.919.115",https://vitalonga.com.br,50,I,2023-11-27 00:01:03.000,"197001"
915,Alkhadima,Alkhadima,"1","9080756337",www.alkhadima.com.br,34,I,2023-11-27 00:01:03.000,"197001"
1114,imperio salvados,imperio salvados,"0","127887122115",,30,I,2023-11-27 00:01:03.000,"197001"
383,Oferta Turbinada,Oferta Turbinada,"0","651105204115",www.ofertaurbinada.com,1500,I,2023-11-27 00:01:03.000,"197001"
395,Sempre Bella,Sempre Bella,"0","142557227110",,500,I,2023-11-27 00:01:03.000,"197001"
